MarketSymbol,Amount,Price,StopPrice,IsBuy,IsMargin,OrderId,ClientOrderId,ShouldRoundAmount,OrderType,IsPostOnly
ALGO-EUR,5,0.3011,0,True,False,,,True,Limit,,365
ALGO-EUR,5,0.3001,0,True,False,,,True,Limit,,366
ALGO-EUR,5,0.2990,0,True,False,,,True,Limit,,367
ALGO-EUR,5,0.2980,0,True,False,,,True,Limit,,368
ALGO-EUR,5,0.2970,0,True,False,,,True,Limit,,369
ALGO-EUR,5,0.2960,0,True,False,,,True,Limit,,370
ALGO-EUR,5,0.2950,0,True,False,,,True,Limit,,371
ALGO-EUR,5,0.2940,0,True,False,,,True,Limit,,372
ALGO-EUR,6,0.2930,0,True,False,,,True,Limit,,373
ALGO-EUR,6,0.2919,0,True,False,,,True,Limit,,374
ALGO-EUR,5,0.3410,0,False,False,,,True,Limit,,375
ALGO-EUR,5,0.3420,0,False,False,,,True,Limit,,376
ALGO-EUR,5,0.3430,0,False,False,,,True,Limit,,377
ALGO-EUR,5,0.3440,0,False,False,,,True,Limit,,378
ALGO-EUR,5,0.3450,0,False,False,,,True,Limit,,379
ALGO-EUR,5,0.3460,0,False,False,,,True,Limit,,380
ALGO-EUR,5,0.3471,0,False,False,,,True,Limit,,381
ALGO-EUR,5,0.3481,0,False,False,,,True,Limit,,382
ALGO-EUR,5,0.3491,0,False,False,,,True,Limit,,383
ALGO-EUR,5,0.3501,0,False,False,,,True,Limit,,384
ALGO-EUR,5,0.3511,0,False,False,,,True,Limit,,385
ALGO-EUR,5,0.3521,0,False,False,,,True,Limit,,386
ALGO-EUR,5,0.3531,0,False,False,,,True,Limit,,387
ALGO-EUR,5,0.3541,0,False,False,,,True,Limit,,388
ALGO-EUR,5,0.3552,0,False,False,,,True,Limit,,389
ALGO-EUR,5,0.3562,0,False,False,,,True,Limit,,390
ALGO-EUR,5,0.3572,0,False,False,,,True,Limit,,391
ALGO-EUR,5,0.3582,0,False,False,,,True,Limit,,392
ALGO-EUR,5,0.3592,0,False,False,,,True,Limit,,393
ALGO-EUR,5,0.3602,0,False,False,,,True,Limit,,394
ALGO-EUR,5,0.3612,0,False,False,,,True,Limit,,395
ALGO-EUR,5,0.3622,0,False,False,,,True,Limit,,396
ALGO-EUR,5,0.3633,0,False,False,,,True,Limit,,397
ALGO-EUR,5,0.3643,0,False,False,,,True,Limit,,398
ALGO-EUR,5,0.3653,0,False,False,,,True,Limit,,399
ALGO-EUR,5,0.3663,0,False,False,,,True,Limit,,400
ALGO-EUR,5,0.3673,0,False,False,,,True,Limit,,401
ALGO-EUR,5,0.3683,0,False,False,,,True,Limit,,402
ALGO-EUR,5,0.3693,0,False,False,,,True,Limit,,403
ALGO-EUR,5,0.3703,0,False,False,,,True,Limit,,404
ALGO-EUR,5,0.3714,0,False,False,,,True,Limit,,405
ALGO-EUR,5,0.3724,0,False,False,,,True,Limit,,406
ALGO-EUR,5,0.3734,0,False,False,,,True,Limit,,407
ALGO-EUR,5,0.3744,0,False,False,,,True,Limit,,408
ALGO-EUR,5,0.3754,0,False,False,,,True,Limit,,409
ALGO-EUR,5,0.3764,0,False,False,,,True,Limit,,410
ALGO-EUR,5,0.3774,0,False,False,,,True,Limit,,411
ALGO-EUR,5,0.3784,0,False,False,,,True,Limit,,412
ALGO-EUR,5,0.3795,0,False,False,,,True,Limit,,413
ALGO-EUR,5,0.3805,0,False,False,,,True,Limit,,414
ALGO-EUR,5,0.3815,0,False,False,,,True,Limit,,415
ALGO-EUR,5,0.3825,0,False,False,,,True,Limit,,416
ALGO-EUR,5,0.3835,0,False,False,,,True,Limit,,417
ETH-EUR,0.002227,1554.51,0,True,False,,,True,Limit,,524
ETH-EUR,0.002234,1549.80,0,True,False,,,True,Limit,,525
ETH-EUR,0.002240,1545.09,0,True,False,,,True,Limit,,526
ETH-EUR,0.002247,1540.38,0,True,False,,,True,Limit,,527
ETH-EUR,0.002254,1535.67,0,True,False,,,True,Limit,,528
ETH-EUR,0.002261,1530.95,0,True,False,,,True,Limit,,529
ETH-EUR,0.002268,1526.24,0,True,False,,,True,Limit,,530
ETH-EUR,0.002275,1521.53,0,True,False,,,True,Limit,,531
ETH-EUR,0.002282,1516.82,0,True,False,,,True,Limit,,532
ETH-EUR,0.002289,1512.11,0,True,False,,,True,Limit,,533
ETH-EUR,0.002296,1507.40,0,True,False,,,True,Limit,,534
ETH-EUR,0.002304,1502.69,0,True,False,,,True,Limit,,535
ETH-EUR,0.002311,1497.98,0,True,False,,,True,Limit,,536
ETH-EUR,0.002318,1493.27,0,True,False,,,True,Limit,,537
ETH-EUR,0.002325,1488.56,0,True,False,,,True,Limit,,538
ETH-EUR,0.002333,1483.85,0,True,False,,,True,Limit,,539
ETH-EUR,0.002340,1479.14,0,True,False,,,True,Limit,,540
ETH-EUR,0.002348,1474.43,0,True,False,,,True,Limit,,541
ETH-EUR,0.002355,1469.72,0,True,False,,,True,Limit,,542
ETH-EUR,0.002363,1465.01,0,True,False,,,True,Limit,,543
ETH-EUR,0.002370,1460.30,0,True,False,,,True,Limit,,544
ETH-EUR,0.002378,1455.58,0,True,False,,,True,Limit,,545
ETH-EUR,0.002386,1450.87,0,True,False,,,True,Limit,,546
ETH-EUR,0.002394,1446.16,0,True,False,,,True,Limit,,547
ETH-EUR,0.002401,1441.45,0,True,False,,,True,Limit,,548
ETH-EUR,0.002409,1436.74,0,True,False,,,True,Limit,,549
ETH-EUR,0.002417,1432.03,0,True,False,,,True,Limit,,550
ETH-EUR,0.002425,1427.32,0,True,False,,,True,Limit,,551
ETH-EUR,0.002433,1422.61,0,True,False,,,True,Limit,,552
ETH-EUR,0.002441,1417.90,0,True,False,,,True,Limit,,553
ETH-EUR,0.002449,1413.19,0,True,False,,,True,Limit,,554
ETH-EUR,0.002458,1408.48,0,True,False,,,True,Limit,,555
ETH-EUR,0.002466,1403.77,0,True,False,,,True,Limit,,556
ETH-EUR,0.002474,1399.06,0,True,False,,,True,Limit,,557
ETH-EUR,0.002483,1394.35,0,True,False,,,True,Limit,,558
ETH-EUR,0.002491,1389.64,0,True,False,,,True,Limit,,559
ETH-EUR,0.002499,1384.93,0,True,False,,,True,Limit,,560
ETH-EUR,0.002508,1380.21,0,True,False,,,True,Limit,,561
ETH-EUR,0.002517,1375.50,0,True,False,,,True,Limit,,562
ETH-EUR,0.002525,1370.79,0,True,False,,,True,Limit,,563
ETH-EUR,0.002534,1366.08,0,True,False,,,True,Limit,,564
ETH-EUR,0.002543,1361.37,0,True,False,,,True,Limit,,565
ETH-EUR,0.002765,1582.64,0,False,False,,,True,Limit,,584
ETH-EUR,0.002765,1587.34,0,False,False,,,True,Limit,,585
ETH-EUR,0.002765,1592.04,0,False,False,,,True,Limit,,586
ETH-EUR,0.002765,1596.74,0,False,False,,,True,Limit,,587
ETH-EUR,0.002765,1601.44,0,False,False,,,True,Limit,,588
ETH-EUR,0.002765,1606.14,0,False,False,,,True,Limit,,589
ETH-EUR,0.002765,1610.85,0,False,False,,,True,Limit,,590
ETH-EUR,0.002765,1615.55,0,False,False,,,True,Limit,,591
ETH-EUR,0.002765,1620.25,0,False,False,,,True,Limit,,592
ETH-EUR,0.002765,1624.95,0,False,False,,,True,Limit,,593
ETH-EUR,0.002765,1629.65,0,False,False,,,True,Limit,,594
ETH-EUR,0.002765,1634.35,0,False,False,,,True,Limit,,595
ETH-EUR,0.002765,1639.05,0,False,False,,,True,Limit,,596
ETH-EUR,0.002765,1643.75,0,False,False,,,True,Limit,,597
ETH-EUR,0.002765,1648.45,0,False,False,,,True,Limit,,598
ETH-EUR,0.002765,1653.15,0,False,False,,,True,Limit,,599
ETH-EUR,0.002765,1657.85,0,False,False,,,True,Limit,,600
DOGE-EUR,43.188064,0.0849,0,True,False,,,True,Limit,,636
DOGE-EUR,43.392505,0.0845,0,True,False,,,True,Limit,,637
DOGE-EUR,43.598890,0.0841,0,True,False,,,True,Limit,,638
DOGE-EUR,43.807248,0.0837,0,True,False,,,True,Limit,,639
DOGE-EUR,44.070513,0.0832,0,True,False,,,True,Limit,,640
DOGE-EUR,44.283414,0.0828,0,True,False,,,True,Limit,,641
DOGE-EUR,44.498382,0.0824,0,True,False,,,True,Limit,,642
DOGE-EUR,44.770045,0.0819,0,True,False,,,True,Limit,,643
DOGE-EUR,44.989775,0.0815,0,True,False,,,True,Limit,,644
DOGE-EUR,45.211673,0.0811,0,True,False,,,True,Limit,,645
DOGE-EUR,45.435770,0.0807,0,True,False,,,True,Limit,,646
DOGE-EUR,45.719036,0.0802,0,True,False,,,True,Limit,,647
DOGE-EUR,45.948204,0.0798,0,True,False,,,True,Limit,,648
DOGE-EUR,46.179681,0.0794,0,True,False,,,True,Limit,,649
DOGE-EUR,46.472328,0.0789,0,True,False,,,True,Limit,,650
DOGE-EUR,46.709130,0.0785,0,True,False,,,True,Limit,,651
DOGE-EUR,46.948357,0.0781,0,True,False,,,True,Limit,,652
DOGE-EUR,38.467950,0.0866,0,False,False,,,True,Limit,,653
DOGE-EUR,38.467950,0.0870,0,False,False,,,True,Limit,,654
DOGE-EUR,38.467950,0.0874,0,False,False,,,True,Limit,,655
DOGE-EUR,38.467950,0.0878,0,False,False,,,True,Limit,,656
DOGE-EUR,38.467950,0.0883,0,False,False,,,True,Limit,,657
DOGE-EUR,38.467950,0.0887,0,False,False,,,True,Limit,,658
DOGE-EUR,38.467950,0.0891,0,False,False,,,True,Limit,,659
DOGE-EUR,38.467950,0.0896,0,False,False,,,True,Limit,,660
DOGE-EUR,38.467950,0.0900,0,False,False,,,True,Limit,,661
DOGE-EUR,38.467950,0.0904,0,False,False,,,True,Limit,,662
DOGE-EUR,38.467950,0.0908,0,False,False,,,True,Limit,,663
